	worker_indices	worker_unique_ids	question_indices	ratings	guid	worker_group
62	0	round1_batch0_worker0	62	1	1_0_t62	0
63	0	round1_batch0_worker0	63	0	1_0_t63	0
64	0	round1_batch0_worker0	64	0	1_0_t64	0
65	0	round1_batch0_worker0	65	1	1_0_t65	0
66	0	round1_batch0_worker0	66	1	1_0_t66	0
67	0	round1_batch0_worker0	67	1	1_0_t67	0
68	0	round1_batch0_worker0	68	0	1_0_t68	0
69	0	round1_batch0_worker0	69	0	1_0_t69	0
70	0	round1_batch0_worker0	70	0	1_0_t70	0
71	0	round1_batch0_worker0	71	2	1_0_t71	0
72	0	round1_batch0_worker0	72	2	1_0_t72	0
73	0	round1_batch0_worker0	73	1	1_0_t73	0
74	0	round1_batch0_worker0	74	2	1_0_t74	0
75	0	round1_batch0_worker0	75	2	1_0_t75	0
76	0	round1_batch0_worker0	76	2	1_0_t76	0
77	0	round1_batch0_worker0	77	1	1_0_t77	0
78	0	round1_batch0_worker0	78	0	1_0_t78	0
79	0	round1_batch0_worker0	79	0	1_0_t79	0
80	0	round1_batch0_worker0	80	2	1_0_t80	0
81	0	round1_batch0_worker0	81	1	1_0_t81	0
82	0	round1_batch0_worker0	82	0	1_0_t82	0
83	0	round1_batch0_worker0	83	0	1_0_t83	0
84	0	round1_batch0_worker0	84	1	1_0_t84	0
85	0	round1_batch0_worker0	85	0	1_0_t85	0
86	0	round1_batch0_worker0	86	0	1_0_t86	0
87	0	round1_batch0_worker0	87	1	1_0_t87	0
88	0	round1_batch0_worker0	88	2	1_0_t88	0
89	0	round1_batch0_worker0	89	1	1_0_t89	0
90	0	round1_batch0_worker0	90	1	1_0_t90	0
91	0	round1_batch0_worker0	91	1	1_0_t91	0
92	0	round1_batch0_worker0	92	2	1_0_t92	0
93	0	round1_batch0_worker0	93	1	1_0_t93	0
94	0	round1_batch0_worker0	94	1	1_0_t94	0
95	0	round1_batch0_worker0	95	0	1_0_t95	0
96	0	round1_batch0_worker0	96	0	1_0_t96	0
97	0	round1_batch0_worker0	97	2	1_0_t97	0
98	0	round1_batch0_worker0	98	0	1_0_t98	0
99	0	round1_batch0_worker0	99	2	1_0_t99	0
100	0	round1_batch0_worker0	100	2	1_0_t100	0
101	0	round1_batch0_worker0	101	0	1_0_t101	0
102	0	round1_batch0_worker0	102	0	1_0_t102	0
103	0	round1_batch0_worker0	103	1	1_0_t103	0
104	0	round1_batch0_worker0	104	2	1_0_t104	0
105	0	round1_batch0_worker0	105	1	1_0_t105	0
106	0	round1_batch0_worker0	106	0	1_0_t106	0
107	0	round1_batch0_worker0	107	0	1_0_t107	0
108	0	round1_batch0_worker0	108	0	1_0_t108	0
109	0	round1_batch0_worker0	109	1	1_0_t109	0
110	0	round1_batch0_worker0	110	0	1_0_t110	0
111	0	round1_batch0_worker0	111	2	1_0_t111	0
112	0	round1_batch0_worker0	112	0	1_0_t112	0
113	0	round1_batch0_worker0	113	1	1_0_t113	0
114	0	round1_batch0_worker0	114	0	1_0_t114	0
115	0	round1_batch0_worker0	115	2	1_0_t115	0
116	0	round1_batch0_worker0	116	0	1_0_t116	0
117	0	round1_batch0_worker0	117	0	1_0_t117	0
118	0	round1_batch0_worker0	118	0	1_0_t118	0
119	0	round1_batch0_worker0	119	1	1_0_t119	0
120	0	round1_batch0_worker0	120	0	1_0_t120	0
121	0	round1_batch0_worker0	121	0	1_0_t121	0
122	0	round1_batch0_worker0	122	1	1_0_t122	0
123	0	round1_batch0_worker0	123	2	1_0_t123	0
124	0	round1_batch0_worker0	124	2	1_0_t124	0
125	0	round1_batch0_worker0	125	1	1_0_t125	0
126	0	round1_batch0_worker0	126	0	1_0_t126	0
127	0	round1_batch0_worker0	127	2	1_0_t127	0
128	0	round1_batch0_worker0	128	1	1_0_t128	0
129	0	round1_batch0_worker0	129	2	1_0_t129	0
130	0	round1_batch0_worker0	130	1	1_0_t130	0
131	0	round1_batch0_worker0	131	1	1_0_t131	0
132	0	round1_batch0_worker0	132	0	1_0_t132	0
133	0	round1_batch0_worker0	133	0	1_0_t133	0
134	0	round1_batch0_worker0	134	1	1_0_t134	0
135	0	round1_batch0_worker0	135	0	1_0_t135	0
136	0	round1_batch0_worker0	136	2	1_0_t136	0
137	0	round1_batch0_worker0	137	2	1_0_t137	0
138	0	round1_batch0_worker0	138	1	1_0_t138	0
139	0	round1_batch0_worker0	139	0	1_0_t139	0
140	0	round1_batch0_worker0	140	2	1_0_t140	0
141	0	round1_batch0_worker0	141	1	1_0_t141	0
142	0	round1_batch0_worker0	142	1	1_0_t142	0
143	0	round1_batch0_worker0	143	2	1_0_t143	0
144	0	round1_batch0_worker0	144	1	1_0_t144	0
145	0	round1_batch0_worker0	145	1	1_0_t145	0
146	0	round1_batch0_worker0	146	2	1_0_t146	0
147	0	round1_batch0_worker0	147	2	1_0_t147	0
148	0	round1_batch0_worker0	148	0	1_0_t148	0
149	0	round1_batch0_worker0	149	1	1_0_t149	0
150	0	round1_batch0_worker0	150	0	1_0_t150	0
151	0	round1_batch0_worker0	151	1	1_0_t151	0
152	0	round1_batch0_worker0	152	1	1_0_t152	0
153	0	round1_batch0_worker0	153	0	1_0_t153	0
154	0	round1_batch0_worker0	154	1	1_0_t154	0
155	0	round1_batch0_worker0	155	2	1_0_t155	0
156	0	round1_batch0_worker0	156	0	1_0_t156	0
157	0	round1_batch0_worker0	157	2	1_0_t157	0
158	0	round1_batch0_worker0	158	2	1_0_t158	0
159	0	round1_batch0_worker0	159	0	1_0_t159	0
160	0	round1_batch0_worker0	160	2	1_0_t160	0
161	0	round1_batch0_worker0	161	2	1_0_t161	0
162	0	round1_batch0_worker0	162	1	1_0_t162	0
163	0	round1_batch0_worker0	163	0	1_0_t163	0
164	0	round1_batch0_worker0	164	2	1_0_t164	0
165	0	round1_batch0_worker0	165	2	1_0_t165	0
166	0	round1_batch0_worker0	166	1	1_0_t166	0
167	0	round1_batch0_worker0	167	0	1_0_t167	0
168	0	round1_batch0_worker0	168	2	1_0_t168	0
169	0	round1_batch0_worker0	169	0	1_0_t169	0
170	0	round1_batch0_worker0	170	0	1_0_t170	0
171	0	round1_batch0_worker0	171	2	1_0_t171	0
172	0	round1_batch0_worker0	172	1	1_0_t172	0
173	0	round1_batch0_worker0	173	0	1_0_t173	0
174	0	round1_batch0_worker0	174	2	1_0_t174	0
175	0	round1_batch0_worker0	175	2	1_0_t175	0
176	0	round1_batch0_worker0	176	0	1_0_t176	0
177	0	round1_batch0_worker0	177	2	1_0_t177	0
178	0	round1_batch0_worker0	178	0	1_0_t178	0
179	0	round1_batch0_worker0	179	2	1_0_t179	0
180	0	round1_batch0_worker0	180	1	1_0_t180	0
181	0	round1_batch0_worker0	181	0	1_0_t181	0
182	0	round1_batch0_worker0	182	0	1_0_t182	0
183	0	round1_batch0_worker0	183	1	1_0_t183	0
184	0	round1_batch0_worker0	184	0	1_0_t184	0
185	0	round1_batch0_worker0	185	0	1_0_t185	0
186	0	round1_batch0_worker0	186	0	1_0_t186	0
187	0	round1_batch0_worker0	187	0	1_0_t187	0
188	0	round1_batch0_worker0	188	1	1_0_t188	0
189	0	round1_batch0_worker0	189	0	1_0_t189	0
190	0	round1_batch0_worker0	190	2	1_0_t190	0
191	0	round1_batch0_worker0	191	1	1_0_t191	0
192	0	round1_batch0_worker0	192	1	1_0_t192	0
193	0	round1_batch0_worker0	193	1	1_0_t193	0
194	0	round1_batch0_worker0	194	0	1_0_t194	0
195	0	round1_batch0_worker0	195	2	1_0_t195	0
196	0	round1_batch0_worker0	196	2	1_0_t196	0
197	0	round1_batch0_worker0	197	1	1_0_t197	0
198	0	round1_batch0_worker0	198	1	1_0_t198	0
199	0	round1_batch0_worker0	199	1	1_0_t199	0
200	0	round1_batch0_worker0	200	0	1_0_t200	0
201	0	round1_batch0_worker0	201	0	1_0_t201	0
202	0	round1_batch0_worker0	202	2	1_0_t202	0
203	0	round1_batch0_worker0	203	1	1_0_t203	0
204	0	round1_batch0_worker0	204	2	1_0_t204	0
205	0	round1_batch0_worker0	205	0	1_0_t205	0
206	0	round1_batch0_worker0	206	0	1_0_t206	0
207	0	round1_batch0_worker0	207	2	1_0_t207	0
208	0	round1_batch0_worker0	208	0	1_0_t208	0
209	0	round1_batch0_worker0	209	2	1_0_t209	0
210	0	round1_batch0_worker0	210	1	1_0_t210	0
211	0	round1_batch0_worker0	211	0	1_0_t211	0
212	0	round1_batch0_worker0	212	0	1_0_t212	0
213	0	round1_batch0_worker0	213	2	1_0_t213	0
214	0	round1_batch0_worker0	214	2	1_0_t214	0
215	0	round1_batch0_worker0	215	2	1_0_t215	0
216	0	round1_batch0_worker0	216	1	1_0_t216	0
217	0	round1_batch0_worker0	217	0	1_0_t217	0
218	0	round1_batch0_worker0	218	2	1_0_t218	0
219	0	round1_batch0_worker0	219	2	1_0_t219	0
220	0	round1_batch0_worker0	220	0	1_0_t220	0
221	0	round1_batch0_worker0	221	0	1_0_t221	0
222	0	round1_batch0_worker0	222	2	1_0_t222	0
223	0	round1_batch0_worker0	223	0	1_0_t223	0
224	0	round1_batch0_worker0	224	2	1_0_t224	0
225	0	round1_batch0_worker0	225	0	1_0_t225	0
226	0	round1_batch0_worker0	226	1	1_0_t226	0
227	0	round1_batch0_worker0	227	2	1_0_t227	0
228	0	round1_batch0_worker0	228	0	1_0_t228	0
229	0	round1_batch0_worker0	229	2	1_0_t229	0
230	0	round1_batch0_worker0	230	1	1_0_t230	0
231	0	round1_batch0_worker0	231	2	1_0_t231	0
232	0	round1_batch0_worker0	232	2	1_0_t232	0
233	0	round1_batch0_worker0	233	0	1_0_t233	0
234	0	round1_batch0_worker0	234	2	1_0_t234	0
235	0	round1_batch0_worker0	235	0	1_0_t235	0
236	0	round1_batch0_worker0	236	0	1_0_t236	0
237	0	round1_batch0_worker0	237	2	1_0_t237	0
238	0	round1_batch0_worker0	238	1	1_0_t238	0
239	0	round1_batch0_worker0	239	0	1_0_t239	0
240	0	round1_batch0_worker0	240	1	1_0_t240	0
241	0	round1_batch0_worker0	241	0	1_0_t241	0
242	0	round1_batch0_worker0	242	2	1_0_t242	0
243	0	round1_batch0_worker0	243	2	1_0_t243	0
244	0	round1_batch0_worker0	244	1	1_0_t244	0
245	0	round1_batch0_worker0	245	2	1_0_t245	0
246	0	round1_batch0_worker0	246	2	1_0_t246	0
247	0	round1_batch0_worker0	247	1	1_0_t247	0
248	0	round1_batch0_worker0	248	1	1_0_t248	0
249	0	round1_batch0_worker0	249	2	1_0_t249	0
250	0	round1_batch0_worker0	250	2	1_0_t250	0
251	0	round1_batch0_worker0	251	1	1_0_t251	0
252	0	round1_batch0_worker0	252	0	1_0_t252	0
253	0	round1_batch0_worker0	253	2	1_0_t253	0
254	0	round1_batch0_worker0	254	0	1_0_t254	0
255	0	round1_batch0_worker0	255	0	1_0_t255	0
256	0	round1_batch0_worker0	256	1	1_0_t256	0
257	0	round1_batch0_worker0	257	2	1_0_t257	0
258	0	round1_batch0_worker0	258	2	1_0_t258	0
259	0	round1_batch0_worker0	259	2	1_0_t259	0
260	0	round1_batch0_worker0	260	0	1_0_t260	0
261	0	round1_batch0_worker0	261	0	1_0_t261	0
262	0	round1_batch0_worker0	262	2	1_0_t262	0
263	0	round1_batch0_worker0	263	2	1_0_t263	0
264	0	round1_batch0_worker0	264	0	1_0_t264	0
265	0	round1_batch0_worker0	265	0	1_0_t265	0
266	0	round1_batch0_worker0	266	2	1_0_t266	0
267	0	round1_batch0_worker0	267	1	1_0_t267	0
268	0	round1_batch0_worker0	268	2	1_0_t268	0
269	0	round1_batch0_worker0	269	2	1_0_t269	0
270	0	round1_batch0_worker0	270	2	1_0_t270	0
271	0	round1_batch0_worker0	271	2	1_0_t271	0
272	0	round1_batch0_worker0	272	2	1_0_t272	0
273	0	round1_batch0_worker0	273	1	1_0_t273	0
274	0	round1_batch0_worker0	274	1	1_0_t274	0
275	0	round1_batch0_worker0	275	1	1_0_t275	0
276	0	round1_batch0_worker0	276	0	1_0_t276	0
277	0	round1_batch0_worker0	277	2	1_0_t277	0
278	0	round1_batch0_worker0	278	0	1_0_t278	0
279	0	round1_batch0_worker0	279	1	1_0_t279	0
280	0	round1_batch0_worker0	280	1	1_0_t280	0
281	0	round1_batch0_worker0	281	0	1_0_t281	0
282	0	round1_batch0_worker0	282	0	1_0_t282	0
283	0	round1_batch0_worker0	283	2	1_0_t283	0
284	0	round1_batch0_worker0	284	1	1_0_t284	0
285	0	round1_batch0_worker0	285	2	1_0_t285	0
286	0	round1_batch0_worker0	286	1	1_0_t286	0
287	0	round1_batch0_worker0	287	0	1_0_t287	0
288	0	round1_batch0_worker0	288	0	1_0_t288	0
289	0	round1_batch0_worker0	289	2	1_0_t289	0
290	0	round1_batch0_worker0	290	2	1_0_t290	0
291	0	round1_batch0_worker0	291	2	1_0_t291	0
292	0	round1_batch0_worker0	292	1	1_0_t292	0
293	0	round1_batch0_worker0	293	1	1_0_t293	0
294	0	round1_batch0_worker0	294	2	1_0_t294	0
295	0	round1_batch0_worker0	295	2	1_0_t295	0
296	0	round1_batch0_worker0	296	2	1_0_t296	0
297	0	round1_batch0_worker0	297	0	1_0_t297	0
298	0	round1_batch0_worker0	298	2	1_0_t298	0
299	0	round1_batch0_worker0	299	2	1_0_t299	0
300	0	round1_batch0_worker0	300	1	1_0_t300	0
301	0	round1_batch0_worker0	301	2	1_0_t301	0
302	0	round1_batch0_worker0	302	1	1_0_t302	0
303	0	round1_batch0_worker0	303	0	1_0_t303	0
304	0	round1_batch0_worker0	304	1	1_0_t304	0
305	0	round1_batch0_worker0	305	1	1_0_t305	0
306	0	round1_batch0_worker0	306	1	1_0_t306	0
307	0	round1_batch0_worker0	307	0	1_0_t307	0
308	0	round1_batch0_worker0	308	2	1_0_t308	0
309	0	round1_batch0_worker0	309	2	1_0_t309	0
310	0	round1_batch0_worker0	310	1	1_0_t310	0
311	0	round1_batch0_worker0	311	1	1_0_t311	0
312	0	round1_batch0_worker0	312	0	1_0_t312	0
313	0	round1_batch0_worker0	313	1	1_0_t313	0
314	0	round1_batch0_worker0	314	0	1_0_t314	0
315	0	round1_batch0_worker0	315	1	1_0_t315	0
316	0	round1_batch0_worker0	316	1	1_0_t316	0
317	0	round1_batch0_worker0	317	2	1_0_t317	0
318	0	round1_batch0_worker0	318	0	1_0_t318	0
319	0	round1_batch0_worker0	319	2	1_0_t319	0
320	0	round1_batch0_worker0	320	0	1_0_t320	0
321	0	round1_batch0_worker0	321	1	1_0_t321	0
322	0	round1_batch0_worker0	322	0	1_0_t322	0
323	0	round1_batch0_worker0	323	0	1_0_t323	0
324	0	round1_batch0_worker0	324	2	1_0_t324	0
325	0	round1_batch0_worker0	325	1	1_0_t325	0
326	0	round1_batch0_worker0	326	0	1_0_t326	0
327	0	round1_batch0_worker0	327	1	1_0_t327	0
328	0	round1_batch0_worker0	328	1	1_0_t328	0
329	0	round1_batch0_worker0	329	0	1_0_t329	0
330	0	round1_batch0_worker0	330	2	1_0_t330	0
331	0	round1_batch0_worker0	331	0	1_0_t331	0
332	0	round1_batch0_worker0	332	2	1_0_t332	0
333	0	round1_batch0_worker0	333	2	1_0_t333	0
334	0	round1_batch0_worker0	334	0	1_0_t334	0
335	0	round1_batch0_worker0	335	0	1_0_t335	0
336	0	round1_batch0_worker0	336	0	1_0_t336	0
337	0	round1_batch0_worker0	337	0	1_0_t337	0
338	0	round1_batch0_worker0	338	1	1_0_t338	0
339	0	round1_batch0_worker0	339	1	1_0_t339	0
340	0	round1_batch0_worker0	340	0	1_0_t340	0
341	0	round1_batch0_worker0	341	1	1_0_t341	0
342	0	round1_batch0_worker0	342	0	1_0_t342	0
343	0	round1_batch0_worker0	343	1	1_0_t343	0
344	0	round1_batch0_worker0	344	2	1_0_t344	0
345	0	round1_batch0_worker0	345	1	1_0_t345	0
346	0	round1_batch0_worker0	346	2	1_0_t346	0
347	0	round1_batch0_worker0	347	1	1_0_t347	0
348	0	round1_batch0_worker0	348	0	1_0_t348	0
349	0	round1_batch0_worker0	349	1	1_0_t349	0
350	0	round1_batch0_worker0	350	2	1_0_t350	0
351	0	round1_batch0_worker0	351	0	1_0_t351	0
352	0	round1_batch0_worker0	352	1	1_0_t352	0
353	0	round1_batch0_worker0	353	1	1_0_t353	0
354	0	round1_batch0_worker0	354	1	1_0_t354	0
355	0	round1_batch0_worker0	355	1	1_0_t355	0
356	0	round1_batch0_worker0	356	1	1_0_t356	0
357	0	round1_batch0_worker0	357	1	1_0_t357	0
358	0	round1_batch0_worker0	358	0	1_0_t358	0
359	0	round1_batch0_worker0	359	1	1_0_t359	0
360	0	round1_batch0_worker0	360	1	1_0_t360	0
361	0	round1_batch0_worker0	361	0	1_0_t361	0
362	0	round1_batch0_worker0	362	0	1_0_t362	0
363	0	round1_batch0_worker0	363	1	1_0_t363	0
364	0	round1_batch0_worker0	364	1	1_0_t364	0
365	0	round1_batch0_worker0	365	1	1_0_t365	0
366	0	round1_batch0_worker0	366	0	1_0_t366	0
367	0	round1_batch0_worker0	367	1	1_0_t367	0
368	0	round1_batch0_worker0	368	0	1_0_t368	0
369	0	round1_batch0_worker0	369	2	1_0_t369	0
370	0	round1_batch0_worker0	370	1	1_0_t370	0
371	0	round1_batch0_worker0	371	1	1_0_t371	0
372	0	round1_batch0_worker0	372	1	1_0_t372	0
373	0	round1_batch0_worker0	373	1	1_0_t373	0
374	0	round1_batch0_worker0	374	0	1_0_t374	0
375	0	round1_batch0_worker0	375	0	1_0_t375	0
376	0	round1_batch0_worker0	376	1	1_0_t376	0
377	0	round1_batch0_worker0	377	1	1_0_t377	0
378	0	round1_batch0_worker0	378	1	1_0_t378	0
379	0	round1_batch0_worker0	379	1	1_0_t379	0
380	0	round1_batch0_worker0	380	2	1_0_t380	0
381	0	round1_batch0_worker0	381	1	1_0_t381	0
382	0	round1_batch0_worker0	382	1	1_0_t382	0
383	0	round1_batch0_worker0	383	1	1_0_t383	0
384	0	round1_batch0_worker0	384	1	1_0_t384	0
385	0	round1_batch0_worker0	385	0	1_0_t385	0
386	0	round1_batch0_worker0	386	1	1_0_t386	0
387	0	round1_batch0_worker0	387	1	1_0_t387	0
388	0	round1_batch0_worker0	388	2	1_0_t388	0
389	0	round1_batch0_worker0	389	0	1_0_t389	0
390	0	round1_batch0_worker0	390	1	1_0_t390	0
391	0	round1_batch0_worker0	391	1	1_0_t391	0
392	0	round1_batch0_worker0	392	1	1_0_t392	0
393	0	round1_batch0_worker0	393	1	1_0_t393	0
394	0	round1_batch0_worker0	394	1	1_0_t394	0
395	0	round1_batch0_worker0	395	1	1_0_t395	0
396	0	round1_batch0_worker0	396	0	1_0_t396	0
397	0	round1_batch0_worker0	397	1	1_0_t397	0
398	0	round1_batch0_worker0	398	2	1_0_t398	0
399	0	round1_batch0_worker0	399	2	1_0_t399	0
400	0	round1_batch0_worker0	400	0	1_0_t400	0
401	0	round1_batch0_worker0	401	1	1_0_t401	0
402	0	round1_batch0_worker0	402	0	1_0_t402	0
403	0	round1_batch0_worker0	403	1	1_0_t403	0
404	0	round1_batch0_worker0	404	1	1_0_t404	0
405	0	round1_batch0_worker0	405	1	1_0_t405	0
406	0	round1_batch0_worker0	406	2	1_0_t406	0
407	0	round1_batch0_worker0	407	0	1_0_t407	0
408	0	round1_batch0_worker0	408	2	1_0_t408	0
409	0	round1_batch0_worker0	409	1	1_0_t409	0
410	0	round1_batch0_worker0	410	1	1_0_t410	0
411	0	round1_batch0_worker0	411	2	1_0_t411	0
412	0	round1_batch0_worker0	412	1	1_0_t412	0
413	0	round1_batch0_worker0	413	1	1_0_t413	0
414	0	round1_batch0_worker0	414	2	1_0_t414	0
415	0	round1_batch0_worker0	415	1	1_0_t415	0
416	0	round1_batch0_worker0	416	1	1_0_t416	0
417	0	round1_batch0_worker0	417	1	1_0_t417	0
418	0	round1_batch0_worker0	418	1	1_0_t418	0
419	0	round1_batch0_worker0	419	1	1_0_t419	0
420	0	round1_batch0_worker0	420	2	1_0_t420	0
421	0	round1_batch0_worker0	421	1	1_0_t421	0
422	0	round1_batch0_worker0	422	1	1_0_t422	0
423	0	round1_batch0_worker0	423	1	1_0_t423	0
424	0	round1_batch0_worker0	424	1	1_0_t424	0
425	0	round1_batch0_worker0	425	2	1_0_t425	0
426	0	round1_batch0_worker0	426	2	1_0_t426	0
427	0	round1_batch0_worker0	427	1	1_0_t427	0
428	0	round1_batch0_worker0	428	1	1_0_t428	0
429	0	round1_batch0_worker0	429	1	1_0_t429	0
430	0	round1_batch0_worker0	430	1	1_0_t430	0
431	0	round1_batch0_worker0	431	0	1_0_t431	0
432	0	round1_batch0_worker0	432	2	1_0_t432	0
433	0	round1_batch0_worker0	433	2	1_0_t433	0
434	0	round1_batch0_worker0	434	0	1_0_t434	0
435	0	round1_batch0_worker0	435	1	1_0_t435	0
436	0	round1_batch0_worker0	436	1	1_0_t436	0
437	0	round1_batch0_worker0	437	2	1_0_t437	0
438	0	round1_batch0_worker0	438	1	1_0_t438	0
439	0	round1_batch0_worker0	439	2	1_0_t439	0
440	0	round1_batch0_worker0	440	2	1_0_t440	0
441	0	round1_batch0_worker0	441	2	1_0_t441	0
442	0	round1_batch0_worker0	442	0	1_0_t442	0
443	0	round1_batch0_worker0	443	1	1_0_t443	0
444	0	round1_batch0_worker0	444	1	1_0_t444	0
445	0	round1_batch0_worker0	445	1	1_0_t445	0
446	0	round1_batch0_worker0	446	0	1_0_t446	0
447	0	round1_batch0_worker0	447	2	1_0_t447	0
448	0	round1_batch0_worker0	448	1	1_0_t448	0
449	0	round1_batch0_worker0	449	2	1_0_t449	0
450	0	round1_batch0_worker0	450	1	1_0_t450	0
451	0	round1_batch0_worker0	451	0	1_0_t451	0
452	0	round1_batch0_worker0	452	0	1_0_t452	0
453	0	round1_batch0_worker0	453	2	1_0_t453	0
454	0	round1_batch0_worker0	454	1	1_0_t454	0
455	0	round1_batch0_worker0	455	1	1_0_t455	0
456	0	round1_batch0_worker0	456	1	1_0_t456	0
457	0	round1_batch0_worker0	457	2	1_0_t457	0
458	0	round1_batch0_worker0	458	1	1_0_t458	0
459	0	round1_batch0_worker0	459	2	1_0_t459	0
460	0	round1_batch0_worker0	460	2	1_0_t460	0
461	0	round1_batch0_worker0	461	1	1_0_t461	0
462	0	round1_batch0_worker0	462	1	1_0_t462	0
463	0	round1_batch0_worker0	463	0	1_0_t463	0
464	0	round1_batch0_worker0	464	0	1_0_t464	0
465	0	round1_batch0_worker0	465	2	1_0_t465	0
466	0	round1_batch0_worker0	466	1	1_0_t466	0
467	0	round1_batch0_worker0	467	1	1_0_t467	0
468	0	round1_batch0_worker0	468	2	1_0_t468	0
469	0	round1_batch0_worker0	469	1	1_0_t469	0
470	0	round1_batch0_worker0	470	2	1_0_t470	0
471	0	round1_batch0_worker0	471	2	1_0_t471	0
472	0	round1_batch0_worker0	472	1	1_0_t472	0
473	0	round1_batch0_worker0	473	0	1_0_t473	0
474	0	round1_batch0_worker0	474	1	1_0_t474	0
475	0	round1_batch0_worker0	475	0	1_0_t475	0
476	0	round1_batch0_worker0	476	2	1_0_t476	0
477	0	round1_batch0_worker0	477	1	1_0_t477	0
478	0	round1_batch0_worker0	478	1	1_0_t478	0
479	0	round1_batch0_worker0	479	1	1_0_t479	0
480	0	round1_batch0_worker0	480	0	1_0_t480	0
481	0	round1_batch0_worker0	481	0	1_0_t481	0
482	0	round1_batch0_worker0	482	1	1_0_t482	0
483	0	round1_batch0_worker0	483	0	1_0_t483	0
484	0	round1_batch0_worker0	484	1	1_0_t484	0
485	0	round1_batch0_worker0	485	1	1_0_t485	0
486	0	round1_batch0_worker0	486	1	1_0_t486	0
487	0	round1_batch0_worker0	487	0	1_0_t487	0
488	0	round1_batch0_worker0	488	1	1_0_t488	0
489	0	round1_batch0_worker0	489	2	1_0_t489	0
490	0	round1_batch0_worker0	490	2	1_0_t490	0
491	0	round1_batch0_worker0	491	1	1_0_t491	0
492	0	round1_batch0_worker0	492	1	1_0_t492	0
493	0	round1_batch0_worker0	493	0	1_0_t493	0
494	0	round1_batch0_worker0	494	1	1_0_t494	0
495	0	round1_batch0_worker0	495	1	1_0_t495	0
496	0	round1_batch0_worker0	496	2	1_0_t496	0
